,nal_number,client_name,client_address,sample_delivery_group,date_received,time_received,project_contact,sampler_contact,client_sample_id,nal_sample_id,date_sampled,time_sampled,sample_type,sample_location,plant_type,variety,growth_stage,vigor,new_old,nitrogen_conversion_efficiency,sap_aluminum,sap_boron,sap_brix,sap_calcium,sap_chloride,sap_cobalt,sap_copper,sap_ec,sap_iron,sap_kcaratio,sap_magnesium,sap_manganese,sap_molybdenum,sap_nickel,sap_nitrogen_as_ammonium,sap_nitrogen_as_nitrate,sap_ph,sap_phosphorous,sap_potassium,sap_selenium,sap_silica,sap_sodium,sap_sulfur,sap_total_nitrogen,sap_total_sugar,sap_zinc
10,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,MMS,t007207,05-10-2022,10:35,Sap,Flower 1-9,CANNABIS,MMS,MOM-VEG,,New,74.7,< 0.01,4.81,3.2,789.0,260.0,< 0.01,0.112,12.2,0.521,4.27,465.0,1.85,< 0.01,0.193,37.7,294.0,7.03,114.0,3370.0,0.033,21.4,11.4,219.0,1310.0,0.229,2.49
11,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,MMS,t007208,05-10-2022,10:35,Sap,Flower 1-9,CANNABIS,MMS,MOM-VEG,,Old,72.2,0.095,6.84,4.0,1150.0,561.0,0.022,0.364,17.1,0.628,5.4,750.0,2.6,< 0.01,0.335,46.6,601.0,6.85,196.0,6210.0,0.078,30.8,21.2,446.0,2330.0,0.0935,4.09
12,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,LBR,t007209,05-10-2022,10:40,Sap,Flower 1-9,CANNABIS,LBR,MOM-VEG,,New,70.5,0.039,4.74,3.5,1070.0,504.0,< 0.01,0.11,13.4,0.776,3.98,472.0,2.68,< 0.01,0.06,33.2,427.0,6.99,136.0,4260.0,0.039,19.6,10.0,186.0,1560.0,0.211,2.29
13,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,LBR,t007210,05-10-2022,10:40,Sap,Flower 1-9,CANNABIS,LBR,MOM-VEG,,Old,70.2,0.149,3.95,4.1,1040.0,752.0,< 0.01,0.205,17.5,0.57,5.68,498.0,2.88,< 0.01,0.114,42.9,631.0,6.78,200.0,5910.0,0.058,19.5,18.2,288.0,2260.0,0.098,3.88
14,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,DC,t007211,05-10-2022,10:45,Sap,Flower 1-9,CANNABIS,DC,MOM-VEG,,New,51.8,0.335,6.64,3.0,1430.0,746.0,< 0.01,0.215,14.4,0.757,2.96,552.0,2.97,< 0.01,0.303,7.1,774.0,6.73,181.0,4230.0,0.091,17.0,21.3,286.0,1620.0,0.115,3.09
15,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,DC,t007212,05-10-2022,10:45,Sap,Flower 1-9,CANNABIS,DC,MOM-VEG,,Old,52.6,0.165,4.47,3.3,1020.0,775.0,< 0.01,0.097,12.0,1.08,3.59,445.0,2.08,< 0.01,0.143,3.69,541.0,6.87,175.0,3660.0,< 0.01,14.2,12.4,235.0,1150.0,0.24,1.95
16,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,RR#2,t007213,05-09-2022,08:43,Sap,(7-3),CANNABIS,,,,New,91.7,0.037,30.0,8.0,997.0,512.0,< 0.01,0.051,9.19,2.22,3.89,1160.0,2.14,< 0.01,0.051,11.6,53.5,6.94,368.0,3880.0,0.103,45.7,6.38,442.0,782.0,0.991,1.37
17,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,RR#2,t007214,05-09-2022,08:41,Sap,(7-3),CANNABIS,,,,Old,92.8,0.05,20.9,5.3,658.0,769.0,< 0.01,0.109,10.7,2.52,6.31,1390.0,2.39,< 0.01,0.08,34.6,25.7,6.86,617.0,4150.0,< 0.01,50.2,10.7,679.0,833.0,0.583,1.96
18,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PJ,t007215,05-09-2022,08:52,Sap,(7-6),CANNABIS,,,,New,95.9,0.06,20.1,5.8,1180.0,528.0,< 0.01,0.091,10.1,1.5,4.19,798.0,4.4,< 0.01,0.24,3.85,23.1,6.87,432.0,4940.0,< 0.01,39.6,9.17,928.0,658.0,0.6,1.8
19,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PJ,t007216,05-09-2022,08:42,Sap,(7-6),CANNABIS,,,,Old,89.9,0.117,16.6,5.0,757.0,672.0,0.018,0.114,11.7,1.63,7.01,1230.0,3.55,< 0.01,0.06,4.23,80.7,7.03,353.0,5310.0,0.103,48.4,8.16,1430.0,842.0,0.0803,3.76
20,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,OD,t007217,05-09-2022,08:22,Sap,(7-9),CANNABIS,,,,New,82.3,0.016,11.8,4.4,692.0,240.0,< 0.01,0.025,9.82,0.834,4.7,712.0,1.85,< 0.01,0.066,26.1,53.1,7.19,182.0,3250.0,0.03,21.2,5.49,366.0,447.0,0.435,1.34
21,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,OD,t007218,05-09-2022,08:32,Sap,(7-9),CANNABIS,,,,Old,71.6,0.088,11.9,4.5,775.0,290.0,0.025,0.102,12.5,1.64,6.65,1050.0,3.35,0.168,0.051,33.1,204.0,6.88,556.0,5150.0,0.085,21.6,7.86,769.0,834.0,0.116,2.48
22,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,SB,t007177,05-10-2022,07:30,Sap,Flower 1-8,CANNABIS,SB,MOMS-VEG,,New,62.9,0.049,4.9,2.9,784.0,591.0,< 0.01,0.404,10.1,0.596,4.08,305.0,1.93,< 0.01,0.041,19.0,396.0,6.87,149.0,3200.0,0.125,22.7,8.52,227.0,1120.0,0.25,2.08
23,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,SB,t007178,05-10-2022,07:30,Sap,Flower 1-8,CANNABIS,SB,MOMS-VEG,,Old,83.7,0.212,8.21,4.6,1330.0,1340.0,0.034,0.648,15.3,0.899,3.93,821.0,3.76,< 0.01,0.077,44.0,351.0,6.54,271.0,5230.0,0.124,20.9,22.6,375.0,2420.0,0.127,4.27
24,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PJ,t007179,05-10-2022,07:35,Sap,Flower 1-8,CANNABIS,PJ,MOMS-VEG,,New,47.7,0.039,4.26,2.5,750.0,533.0,< 0.01,0.185,11.2,0.471,3.59,284.0,2.39,< 0.01,0.046,8.73,608.0,6.9,130.0,2690.0,0.117,16.9,8.56,170.0,1180.0,0.144,1.72
25,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PJ,t007180,05-10-2022,07:35,Sap,Flower 1-8,CANNABIS,PJ,MOMS-VEG,,Old,83.9,0.091,9.03,5.4,1520.0,1250.0,0.012,0.962,22.7,1.15,5.41,894.0,4.86,< 0.01,0.679,77.8,448.0,6.81,203.0,8220.0,< 0.01,27.6,28.8,789.0,3260.0,0.103,5.33
26,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PG,t007181,05-10-2022,07:40,Sap,Flower 1-8,CANNABIS,PG,MOMS-VEG,,New,77.0,0.041,4.51,2.8,921.0,1650.0,< 0.01,0.24,12.3,0.662,3.51,386.0,2.26,< 0.01,0.086,3.72,272.0,6.69,193.0,3230.0,0.048,18.1,11.9,236.0,1200.0,0.205,2.25
27,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PG,t007182,05-10-2022,07:40,Sap,Flower 1-8,CANNABIS,PG,MOMS-VEG,,Old,78.3,0.081,11.5,4.4,1580.0,1680.0,0.024,0.664,15.9,1.48,3.36,1040.0,5.27,0.14,0.107,29.4,464.0,6.87,179.0,5310.0,0.054,23.6,26.6,580.0,2270.0,0.144,5.28
28,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PBB,t007183,05-10-2022,07:45,Sap,Flower 1-8,CANNABIS,PBB,MOMS-VEG,,New,60.5,0.024,5.99,3.3,1070.0,833.0,0.01,0.682,14.0,0.863,4.78,532.0,3.06,< 0.01,0.333,20.8,710.0,6.84,179.0,5110.0,0.104,26.8,19.1,424.0,1850.0,0.134,3.08
29,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,PBB,t007184,05-10-2022,07:45,Sap,Flower 1-8,CANNABIS,PBB,MOMS-VEG,,Old,75.5,0.052,7.95,5.0,1780.0,1270.0,< 0.01,0.814,21.5,0.673,4.21,865.0,4.07,< 0.01,0.176,25.9,713.0,6.73,171.0,7500.0,< 0.01,38.9,21.6,551.0,3010.0,0.094,3.14
30,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,OG,t007185,05-10-2022,07:50,Sap,Flower 1-8,CANNABIS,OG,MOMS-VEG,,New,76.1,0.036,4.49,3.6,864.0,843.0,< 0.01,0.324,15.2,0.694,4.18,470.0,2.87,< 0.01,0.124,37.7,412.0,6.92,130.0,3610.0,< 0.01,13.8,12.1,275.0,1880.0,0.14,2.72
31,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,OG,t007186,05-10-2022,07:50,Sap,Flower 1-8,CANNABIS,OG,MOMS-VEG,,Old,73.4,0.048,5.44,4.2,1380.0,865.0,< 0.01,0.497,15.2,0.842,3.65,768.0,4.02,< 0.01,0.142,31.4,657.0,6.89,138.0,5040.0,0.071,17.2,18.1,403.0,2590.0,0.0685,3.65
32,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,OD,t007187,05-10-2022,07:55,Sap,Flower 1-8,CANNABIS,OD,MOMS-VEG,,New,83.4,0.039,4.92,3.4,1100.0,849.0,< 0.01,0.536,14.3,0.736,4.04,484.0,2.86,< 0.01,0.162,15.8,305.0,6.81,155.0,4440.0,< 0.01,27.8,15.8,301.0,1930.0,0.133,2.49
33,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,OD,t007188,05-10-2022,07:55,Sap,Flower 1-8,CANNABIS,OD,MOMS-VEG,,Old,74.3,0.075,5.13,3.4,1250.0,790.0,0.029,0.458,13.4,0.791,3.69,583.0,3.3,0.186,0.159,37.9,469.0,6.79,177.0,4610.0,0.01,22.0,16.6,355.0,1970.0,0.109,3.28
34,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,MMS,t007189,05-10-2022,08:00,Sap,Flower 1-8,CANNABIS,MMS,MOMS-VEG,,New,82.3,0.024,5.83,3.7,946.0,624.0,< 0.01,0.369,12.5,0.865,4.59,455.0,3.08,< 0.01,0.019,41.9,283.0,6.95,184.0,4340.0,< 0.01,24.0,18.5,312.0,1840.0,0.176,3.3
35,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,MMS,t007190,05-10-2022,08:00,Sap,Flower 1-8,CANNABIS,MMS,MOMS-VEG,,Old,82.6,0.031,7.78,5.6,1550.0,999.0,0.021,0.757,21.9,0.778,5.12,1030.0,3.88,< 0.01,0.061,59.3,497.0,7.0,169.0,7930.0,0.146,46.2,27.2,768.0,3200.0,0.104,5.48
36,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,LBR,t007191,05-10-2022,08:15,Sap,Flower 1-8,CANNABIS,LBR,MOMS-VEG,,New,70.1,0.038,3.67,3.1,820.0,315.0,< 0.01,0.215,13.2,0.676,4.72,366.0,1.99,< 0.01,0.095,17.2,393.0,7.0,139.0,3870.0,0.076,19.5,13.7,147.0,1370.0,0.134,2.36
37,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,LBR,t007192,05-10-2022,08:15,Sap,Flower 1-8,CANNABIS,LBR,MOMS-VEG,,Old,80.3,0.057,4.22,4.7,949.0,945.0,< 0.01,0.486,19.5,0.547,7.59,618.0,3.16,< 0.01,0.096,50.0,440.0,6.79,292.0,7200.0,< 0.01,24.5,23.7,420.0,2490.0,0.126,4.44
38,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,DC,t007193,05-10-2022,08:30,Sap,Flower 1-8,CANNABIS,DC,MOMS-VEG,,New,58.5,0.04,3.98,2.8,1100.0,1010.0,< 0.01,0.154,14.6,0.665,3.99,542.0,2.31,< 0.01,0.101,7.52,627.0,6.78,217.0,4390.0,< 0.01,14.8,14.1,339.0,1530.0,0.147,2.78
39,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,DC,t007194,05-10-2022,08:30,Sap,Flower 1-8,CANNABIS,DC,MOMS-VEG,,Old,80.0,0.164,6.93,4.6,1690.0,1830.0,0.012,0.582,19.6,1.1,4.02,931.0,4.36,< 0.01,0.139,56.2,485.0,6.77,226.0,6800.0,< 0.01,20.2,23.6,516.0,2700.0,0.137,5.54
40,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,SB,t007195,05-10-2022,,Sap,Flower 1-9,CANNABIS,SB,MOMS-VEG,,New,78.1,0.036,4.88,3.1,980.0,506.0,< 0.01,0.268,13.2,0.655,3.43,408.0,2.43,< 0.01,0.096,16.4,301.0,6.9,209.0,3360.0,0.014,19.6,12.6,260.0,1450.0,0.287,2.25
41,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221557FL,05-10-2022,15:57,Ashley Hubbard,Ashley Hubbard,SB,t007196,05-10-2022,,Sap,Flower 1-9,CANNABIS,SB,MOMS-VEG,,Old,69.6,0.037,5.25,3.9,1290.0,810.0,< 0.01,0.343,15.1,0.516,4.16,691.0,2.29,< 0.01,0.164,28.7,629.0,6.53,279.0,5360.0,< 0.01,18.7,22.8,424.0,2160.0,0.108,3.23
