Sample ID,Analysis Name,Analysis Keyword,Method,Analyst,Result,Unit
736,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
737,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,2.5,mg/L
737,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
737,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
738,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
738,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
739,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,2.7,mg/L
739,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
739,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
740,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
740,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
740,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
741,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
741,Coliform (MPN),coliform_mpn,SM9223B,kcrago,> 2420,MPN/100mL
742,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
742,Coliform (MPN),coliform_mpn,SM9223B,kcrago,> 2420,MPN/100mL
743,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
743,Coliform (MPN),coliform_mpn,SM9223B,kcrago,> 2420,MPN/100mL
744,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
744,Coliform (MPN),coliform_mpn,SM9223B,kcrago,> 2420,MPN/100mL
745,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
745,Coliform (MPN),coliform_mpn,SM9223B,kcrago,2419.6,MPN/100mL
746,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
746,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
747,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
747,Coliform (MPN),coliform_mpn,SM9223B,kcrago,< 1,MPN/100mL
748,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
748,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
749,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
749,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
750,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
750,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
751,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
751,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
752,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
752,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
753,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,1.8,mg/L
753,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
753,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
754,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
754,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
755,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
755,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
756,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
756,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
757,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
757,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
757,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
758,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
758,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
758,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
759,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
759,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
760,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
760,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
761,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
761,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
762,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
762,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
763,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
763,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
764,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
764,Fecal Coliform,fecal_coliform,SM9223B,kcrago,ABSENT,
764,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
765,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
765,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
766,Coliform (PA),coliform_pa,SM9223B,igallagher,ABSENT,
766,E.coli (PA),ecoli_pa,SM9223B,igallagher,ABSENT,
767,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
767,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
768,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
768,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
769,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
769,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
770,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,4,mg/L
771,Coliform (PA),coliform_pa,SM9223B,igallagher,ABSENT,
771,E.coli (PA),ecoli_pa,SM9223B,igallagher,ABSENT,
772,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
772,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
773,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,2,mg/L
774,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
774,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
775,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
775,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
776,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
776,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
777,Coliform (PA),coliform_pa,SM9223B,jbutler,ABSENT,
777,E.coli (PA),ecoli_pa,SM9223B,jbutler,ABSENT,
778,Coliform (PA),coliform_pa,SM9223B,jbutler,ABSENT,
778,E.coli (PA),ecoli_pa,SM9223B,jbutler,ABSENT,
779,Coliform (PA),coliform_pa,SM9223B,jbutler,ABSENT,
779,E.coli (PA),ecoli_pa,SM9223B,jbutler,ABSENT,
780,E.coli (MPN),ecoli_mpn,SM9223B,jbutler,< 1,MPN/100mL
780,Coliform (MPN),coliform_mpn,SM9223B,jbutler,1,MPN/100mL
781,E.coli (MPN),ecoli_mpn,SM9223B,jbutler,< 1,MPN/100mL
781,Coliform (MPN),coliform_mpn,SM9223B,jbutler,< 1,MPN/100mL
782,E.coli (MPN),ecoli_mpn,SM9223B,jbutler,< 1,MPN/100mL
782,Coliform (MPN),coliform_mpn,SM9223B,jbutler,> 2420,MPN/100mL
783,E.coli (MPN),ecoli_mpn,SM9223B,jbutler,< 1,MPN/100mL
783,Coliform (MPN),coliform_mpn,SM9223B,jbutler,> 2420,MPN/100mL
784,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
784,Coliform (PA),coliform_pa,SM9223B,jbutler,ABSENT,
784,E.coli (PA),ecoli_pa,SM9223B,jbutler,ABSENT,
785,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,1,mg/L
785,Coliform (PA),coliform_pa,SM9223B,jbutler,ABSENT,
785,E.coli (PA),ecoli_pa,SM9223B,jbutler,ABSENT,
786,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
786,Coliform (PA),coliform_pa,SM9223B,jbutler,ABSENT,
786,E.coli (PA),ecoli_pa,SM9223B,jbutler,ABSENT,
238,Coliform (MPN),coliform_mpn,SM9223B,kcrago,2,MPN/100mL
238,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
239,Coliform (PA),coliform_pa,SM9223B,kcrago,PRESENT,
239,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
2639,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2639,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2640,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2640,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2641,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2641,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2642,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2642,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2643,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2643,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2644,Nitrite (NO2),nitrite,SM4500 NO-2B,kcrago,< 0.1,mg/L
2644,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2644,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2644,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
2645,E.coli (PA),ecoli_pa,SM9223B,mabshire,PRESENT,
2645,Coliform (PA),coliform_pa,SM9223B,mabshire,PRESENT,
2646,E.coli (PA),ecoli_pa,SM9223B,mabshire,PRESENT,
2646,Coliform (PA),coliform_pa,SM9223B,mabshire,PRESENT,
002622-R01,Coliform (MPN),coliform_mpn,SM9223B,kcrago,< 1,MPN/100mL
002622-R01,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
002623-R01,Coliform (MPN),coliform_mpn,SM9223B,kcrago,< 1,MPN/100mL
002623-R01,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
002624-R01,Coliform (MPN),coliform_mpn,SM9223B,kcrago,< 1,MPN/100mL
002624-R01,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
002625-R01,Coliform (MPN),coliform_mpn,SM9223B,kcrago,< 1,MPN/100mL
002625-R01,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
002626-R01,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
002626-R01,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
002627-R01,Coliform (MPN),coliform_mpn,SM9223B,kcrago,< 1,MPN/100mL
002627-R01,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
002628-R01,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
002628-R01,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
002628-R01,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,2.6,mg/L
002631-R01,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
002631-R01,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
2647,Coliform (MPN),coliform_mpn,SM9223B,mabshire,248.1,MPN/100mL
2647,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2648,Coliform (MPN),coliform_mpn,SM9223B,mabshire,131.4,MPN/100mL
2648,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,15.8,MPN/100mL
2649,Coliform (MPN),coliform_mpn,SM9223B,mabshire,165.8,MPN/100mL
2649,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2650,Coliform (MPN),coliform_mpn,SM9223B,mabshire,248.9,MPN/100mL
2650,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,15.5,MPN/100mL
2651,Coliform (MPN),coliform_mpn,SM9223B,mabshire,410.6,MPN/100mL
2651,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,57.8,MPN/100mL
2652,Coliform (MPN),coliform_mpn,SM9223B,mabshire,129.1,MPN/100mL
2652,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,2,MPN/100mL
2653,Coliform (MPN),coliform_mpn,SM9223B,mabshire,105,MPN/100mL
2653,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2654,Coliform (MPN),coliform_mpn,SM9223B,mabshire,154.1,MPN/100mL
2654,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2655,Coliform (MPN),coliform_mpn,SM9223B,mabshire,193.5,MPN/100mL
2655,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,9.8,MPN/100mL
2656,Coliform (MPN),coliform_mpn,SM9223B,mabshire,34.5,MPN/100mL
2656,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2657,Coliform (MPN),coliform_mpn,SM9223B,mabshire,387.3,MPN/100mL
2657,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,1,MPN/100mL
2658,Coliform (MPN),coliform_mpn,SM9223B,mabshire,209.8,MPN/100mL
2658,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2659,Coliform (MPN),coliform_mpn,SM9223B,mabshire,488.4,MPN/100mL
2659,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,3,MPN/100mL
2660,Coliform (MPN),coliform_mpn,SM9223B,mabshire,2419.6,MPN/100mL
2660,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,8.6,MPN/100mL
2661,Coliform (MPN),coliform_mpn,SM9223B,mabshire,435.2,MPN/100mL
2661,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,11.8,MPN/100mL
2662,Coliform (MPN),coliform_mpn,SM9223B,mabshire,130.9,MPN/100mL
2662,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,7.4,MPN/100mL
2663,Coliform (MPN),coliform_mpn,SM9223B,mabshire,272.8,MPN/100mL
2663,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,3.1,MPN/100mL
2664,Coliform (MPN),coliform_mpn,SM9223B,mabshire,137.6,MPN/100mL
2664,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,18.5,MPN/100mL
2665,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2665,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2666,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2666,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2667,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2667,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2668,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,2.4,mg/L
2669,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2669,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2670,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2670,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2671,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2671,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2672,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2672,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2673,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2673,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2674,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2674,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2675,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2675,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
002641-R01,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
002641-R01,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
002642-R01,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
002642-R01,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
002632-R01,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
002632-R01,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
002631-R02,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
002631-R02,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
002641-R02,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
002641-R02,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
002642-R02,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
002642-R02,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2676,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2676,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2676,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,2.5,mg/L
2677,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2677,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2678,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
2679,Coliform (MPN),coliform_mpn,SM9223B,mabshire,5.2,MPN/100mL
2679,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2680,Coliform (MPN),coliform_mpn,SM9223B,mabshire,3.1,MPN/100mL
2680,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2681,Coliform (MPN),coliform_mpn,SM9223B,mabshire,> 2419.6,MPN/100mL
2681,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,6.3,MPN/100mL
2682,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2682,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2683,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2683,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2684,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2684,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2684,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,2.7,mg/L
2685,Coliform (MPN),coliform_mpn,SM9223B,mabshire,1553.1,MPN/100mL
2685,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,79.8,MPN/100mL
2686,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2686,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2687,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2687,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2688,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2688,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2688,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,16.9,mg/L
2689,Coliform (MPN),coliform_mpn,SM9223B,mabshire,< 1,MPN/100mL
2689,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2690,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2690,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2691,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2691,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2692,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2692,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2693,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2693,Coliform (PA),coliform_pa,SM9223B,mabshire,PRESENT,
2694,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2694,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2694,Nitrate (NO3),nitrate,SM4500 NO-3D,igallagher,9.8,mg/L
2695,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2695,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2696,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2696,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2697,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2697,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2697,Nitrate (NO3),nitrate,SM4500 NO-3D,igallagher,< 1,mg/L
2698,Nitrite (NO2),nitrite,SM4500 NO-2B,igallagher,< 0.1,mg/L
2698,Nitrate (NO3),nitrate,SM4500 NO-3D,igallagher,3.9,mg/L
2699,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2699,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2700,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2700,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2700,Nitrate (NO3),nitrate,SM4500 NO-3D,igallagher,1.4,mg/L
2701,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2701,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2702,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2702,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2703,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2703,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2703,Nitrate (NO3),nitrate,SM4500 NO-3D,igallagher,3.4,mg/L
2704,Lead (Pb),lead,EPA 200.5,mabshire,< 5,µg/L
2704,Copper (Cu),copper,EPA 200.5,igallagher,< 5,µg/L
2705,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2705,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2705,Nitrate (NO3),nitrate,SM4500 NO-3D,igallagher,1.9,mg/L
2706,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2706,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2706,Nitrate (NO3),nitrate,SM4500 NO-3D,igallagher,1.4,mg/L
2707,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2707,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2707,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
2708,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2708,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2708,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
2709,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2709,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2709,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
2710,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2710,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2710,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
2711,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2711,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2711,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
2712,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2712,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2712,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
2713,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2713,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2713,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
2714,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2714,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2714,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
2715,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2715,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2716,Coliform (MPN),coliform_mpn,SM9223B,mabshire,< 1,MPN/100mL
2716,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2717,Coliform (MPN),coliform_mpn,SM9223B,mabshire,< 1,MPN/100mL
2717,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2718,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2718,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2719,E.coli (PA),ecoli_pa,SM9223B,mabshire,ABSENT,
2719,Coliform (PA),coliform_pa,SM9223B,mabshire,ABSENT,
2720,Coliform (MPN),coliform_mpn,SM9223B,mabshire,> 2419.6,MPN/100mL
2720,E.coli (MPN),ecoli_mpn,SM9223B,mabshire,< 1,MPN/100mL
2721,Coliform (MPN),coliform_mpn,SM9223B,mabshire,> 2419.6,MPN/100mL
